,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Woodiness,Woodiness_try,C3,C3,C4,Nit_fix
144,Prosopis juliflora,Prosopis juliflora,TRUE,NCBI,0.988,"Mexico, South America and Carribean",,,,,,12,https://en.wikipedia.org/wiki/Prosopis_juliflora,,1,woody,C3,1,,
145,Prunus serotina,Prunus serotina,TRUE,NCBI,0.988,North and South America,,18.90410959,Non-native,38,20,,http://www.cabi.org/isc/datasheet/44360,,1,woody,C3,1,,
146,Quercus alba,Quercus alba,TRUE,NCBI,0.988,Eastern North America,,,,30,24,,https://en.wikipedia.org/wiki/Quercus_alba,,1,woody,C3,1,,
147,Quercus ilex,Quercus ilex,TRUE,NCBI,0.988,Mediterranean and Northern Africa,,,,20,5,,https://en.wikipedia.org/wiki/Quercus_ilex,,1,woody,C3,1,,
148,Quercus robur,Quercus robur,TRUE,Wikispecies,0.988,Europe and Western Asia,,39.14867641,Native,40,20,,https://www.woodlandtrust.org.uk/visiting-woods/trees-woods-and-wildlife/british-trees/native-trees/english-oak/,,1,woody,C3,1,,
149,Quercus rubra,Quercus rubra,TRUE,NCBI,0.988,Eastern North America,,25,Non-native,,,28,https://en.wikipedia.org/wiki/Quercus_rubra,,1,woody,C3,1,,
150,Quercus,Quercus,TRUE,Catalogue of Life,0.75,,,,,,,,,,1,woody,#N/A,,,
151,Raphanus sativus,Raphanus sativus,TRUE,NCBI,0.988,Europe,,0.519615242,Native,,,0.13,https://en.wikipedia.org/wiki/Radish,,0,non-woody,C3,1,,
152,Retama raetam,Retama raetam,TRUE,NCBI,0.988,Southern Europe and North Africa,,,,,,3,http://www.flowersinisrael.com/Retamaraetam_page.htm,,1,woody,C3,1,,
153,Rhamnus cathartica,Rhamnus cathartica,TRUE,NCBI,0.988,"Europe, Northern Africa, western Asia.",,,,,,10,https://en.wikipedia.org/wiki/Rhamnus_cathartica,,1,woody,C3,1,,
154,Rhamnus davurica,Rhamnus davurica,TRUE,NCBI,0.988,East Asia,,,,,,10,https://en.wikipedia.org/wiki/Rhamnus_davurica,,1,woody,C3,1,,
155,Robinia pseudoacacia,Robinia pseudoacacia,TRUE,NCBI,0.988,South Eastern USA,,,,,,25,http://www.kew.org/science-conservation/plants-fungi/robinia-pseudoacacia-black-locust,,1,woody,C3,1,,
156,Rubus,Rubus,TRUE,Catalogue of Life,0.75,,,,,,,,,,,#N/A,#N/A,,,
157,Sagittaria latifolia,Sagittaria latifolia,TRUE,NCBI,0.988,"North America, Mexico, Northern South America",,,,,,1.2,http://plants.usda.gov/factsheet/pdf/fs_sala2.pdf,,0,non-woody,C3,1,,
158,Salix caprea,Salix caprea,TRUE,NCBI,0.988,Europe and Asia,,5.295522503,Native,10,8,,https://en.wikipedia.org/wiki/Salix_caprea,,1,woody,C3,1,,
159,Schinus terebinthifolius,Schinus terebinthifolius,TRUE,Freebase,0.988,Tropical and subtropical South America,,,,10,7,,https://en.wikipedia.org/wiki/Schinus_terebinthifolius,,1,woody,C3,1,,
160,Schizachyrium condensatum,Schizachyrium condensatum,TRUE,EOL,0.988,South America,,,,,,1.5,https://en.wikipedia.org/wiki/Schizachyrium_condensatum,,0,non-woody,C4,0,,
161,Schizachyrium scoparium,Schizachyrium scoparium,TRUE,NCBI,0.988,Native to most of the USA apart from California,,,,0.9,0.45,,http://plants.usda.gov/factsheet/pdf/fs_scsc.pdf,,0,non-woody,C4,0,,
162,Scirpus mariqueter,Scirpus mariqueter,TRUE,EOL,0.988,All continents apart from Africa,,,,,,,,No details on height,0,non-woody,#N/A,,,
163,Selaginella densa,Selaginella densa,TRUE,NCBI,0.988,Western North America,,,,,,0.04,https://en.wikipedia.org/wiki/Selaginella_densa,,0,non-woody,C3,1,,
164,Setaria plicata,Setaria plicata,TRUE,NCBI,0.988,,Origin unsure,,,1.3,0.45,,http://www.kew.org/data/grasses-db/www/imp09408.htm,,0,non-woody,C4,0,,
165,Solidago canadensis,Solidago canadensis,TRUE,NCBI,0.988,North-Eastern and North-Central North America,,1.375,Non-native,2.1,0.3,,http://plants.usda.gov/factsheet/pdf/fs_soca6.pdf,,0,non-woody,C3,1,,
166,Solidago gigantea,Solidago gigantea,TRUE,NCBI,0.988,North America,,1.375,Non-native,,,2,https://en.wikipedia.org/wiki/Solidago_gigantea,,0,non-woody,C3,1,,
167,Sorghum halepense,Sorghum halepense,TRUE,NCBI,0.988,Mediterranean,,,,0.5,0.15,,http://www.cabi.org/isc/datasheet/50624,,0,non-woody,C4,0,,
168,Spartina alterniflor,Spartina alterniflora,FALSE,Catalogue of Life,0.75,Atlantic coast of North America,,,,2.1,0.6,,http://plants.usda.gov/factsheet/pdf/fs_spal.pdf,,0,non-woody,C4,0,,
169,Spartina alterniflora,Spartina alterniflora,TRUE,WoRMS,0.988,Atlantic coast of North America,,,,2.1,0.6,,http://plants.usda.gov/factsheet/pdf/fs_spal.pdf,,0,non-woody,C4,0,,
170,Spartina anglica,Spartina anglica,TRUE,Freebase,0.988,Europe/UK,,,,1.3,0.4,,https://en.wikipedia.org/wiki/Spartina_anglica,,0,non-woody,C4,0,,
171,Spartina patens,Spartina patens,TRUE,Freebase,0.988,"Atlantic coast of North America, Carribean and Mexico",,,,0.6,0.3,,https://en.wikipedia.org/wiki/Spartina_patens,,0,non-woody,C4,0,,
172,Stapelia gigantea,Stapelia gigantea,TRUE,NCBI,0.988,South-Eastern Africa,,,,,,0.2,https://en.wikipedia.org/wiki/Stapelia_gigantea,,0,non-woody,0,,,
173,Stipa,Stipa,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,#N/A,#N/A,,,
174,Stylophorum diphyllum,Stylophorum diphyllum,TRUE,NCBI,0.988,Eastern North America,,,,,,0.45,https://en.wikipedia.org/wiki/Stylophorum_diphyllum,,0,non-woody,C3,1,,
175,Styphelia tameiameiae,Styphelia tameiameiae,TRUE,NCBI,0.988,Hawaii and Maquesas islands,,,,3,0.9,,https://en.wikipedia.org/wiki/Styphelia_tameiameiae,,1,woody,C3,1,,
176,Tamarix chinensis,Tamarix chinensis,TRUE,NCBI,0.988,China and Korea,,,,,,6,https://en.wikipedia.org/wiki/Tamarix_chinensis,,1,woody,C3,1,,
177,Tamarix ramosissima,Tamarix ramosissima,TRUE,NCBI,0.988,Europe and Asia,,,,,,8,https://en.wikipedia.org/wiki/Tamarix_ramosissima,,1,woody,C3,1,,
178,Tamarix,Tamarix,TRUE,NCBI,0.75,,,,,,,,,,1,woody,#N/A,,,
179,Taxodium distichum,Taxodium distichum,TRUE,NCBI,0.988,South Eastern USA,,40,Non-native,35,30,,https://en.wikipedia.org/wiki/Taxodium_distichum,,1,woody,C3,1,,
180,Teline monspessulana,Teline monspessulana,TRUE,EOL,0.988,Mediterranean,,,,2.5,1,,https://en.wikipedia.org/wiki/Genista_monspessulana,,1,woody,C3,1,,
181,Themeda trianda,Themeda triandra,FALSE,Catalogue of Life,0.75,"Asia, Africa, Australia and Pacific",Origin unsure,,,,,1.5,https://en.wikipedia.org/wiki/Themeda_triandra,,0,non-woody,C4,0,,
182,Toxicodendron vernicifluu,Toxicodendron vernicifluum,FALSE,Catalogue of Life,0.75,China and India,,,,,,20,https://en.wikipedia.org/wiki/Toxicodendron_vernicifluum,,1,woody,C3,1,,
183,Tradescantia fluminensis,Tradescantia fluminensis,TRUE,NCBI,0.988,South America,,,,,,0.2,https://www.rhs.org.uk/Plants/56226/i-Tradescantia-fluminensis-i-Quicksilver-(v)/Details,,0,non-woody,0,,,
184,Trientalis borealis,Trientalis borealis,TRUE,Catalogue of Life,0.988,North America,,,,,,0.2,https://en.wikipedia.org/wiki/Trientalis_borealis,,0,non-woody,C3,1,,
185,Trifolium repens,Trifolium repens,TRUE,NCBI,0.988,Europe and Central Asia,,0.316227766,Native,,,0.07,https://en.wikipedia.org/wiki/Trifolium_repens,,0,non-woody,C3,1,,
186,Typha latifolia,Typha latifolia,TRUE,NCBI,0.988,North and South America,,1.5,Non-native,3,1.5,,https://en.wikipedia.org/wiki/Typha_latifolia,,0,non-woody,C3,1,,
187,Typha x glauca,Typha x glauca,TRUE,NCBI,0.999,Europe,,,,1.8,0.9,,https://en.wikipedia.org/wiki/Typha_angustifolia,,0,non-woody,#N/A,,,
188,Ulmus minor,Ulmus minor,TRUE,Catalogue of Life,0.988,Europe to Central Asia,,28.63564213,Native,,,30,https://en.wikipedia.org/wiki/Ulmus_minor,,1,woody,C3,1,,
189,Urtica dioica,Urtica dioica,TRUE,Catalogue of Life,0.988,"Europe, Asia, northern Africa, western North America",,0.74941486,Native,2,1,,https://en.wikipedia.org/wiki/Urtica_dioica,,0,non-woody,C3,1,,
190,Vaccinium,Vaccinium,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,,,,,
